Date,Open,High,Low,Close,Volume,FGI,RSI_14,ATR_14,MA_14,cluster_0,cluster_1,cluster_2,cluster_3
2024-10-07,62819.109375,64443.70703125,62152.55078125,62236.66015625,34253562610,50.0,45.7626333318999,1908.743861607143,63193.677455357145,True,0,False,False
2024-10-08,62221.64453125,63174.3046875,61843.5625,62131.96875,28134475157,49.0,40.98188845281725,1863.9542410714287,63038.677455357145,True,0,False,False
2024-10-09,62131.7265625,62508.8359375,60314.61328125,60582.1015625,27670982363,49.0,39.69182401605468,1887.8895089285713,62855.745814732145,True,0,False,False
2024-10-10,60581.9296875,61236.72265625,58895.20703125,60274.5,30452813570,39.0,27.05542673283206,1832.1743861607142,62505.28013392857,True,0,False,False
2024-10-11,60275.4609375,63400.87109375,60046.125,62445.08984375,30327141594,32.0,36.348003671277226,1955.5345982142858,62266.310546875,True,0,False,False
2024-10-12,62444.6171875,63448.78515625,62443.26953125,63193.0234375,16744110886,49.0,39.55896090906835,1970.3931361607142,62073.83733258928,True,0,False,False
2024-10-13,63192.9453125,63272.65234375,62035.63671875,62851.375,18177529690,50.0,39.28706714511792,2014.513671875,61874.98521205357,True,0,False,False
2024-10-14,62848.3984375,66482.4921875,62442.15234375,66046.125,43706958056,48.0,59.78452149748246,2105.8459821428573,62069.02985491072,False,0,False,True
2024-10-15,66050.3671875,67881.6796875,64809.1953125,67041.109375,48863870879,65.0,75.04734275015645,2045.1875,62512.179966517855,False,0,False,True
2024-10-16,67042.4609375,68375.2890625,66758.7265625,67612.71875,38195189534,73.0,77.36770216510898,1992.0320870535713,63010.74665178572,False,0,False,True
2024-10-17,67617.078125,67912.2109375,66647.390625,67399.8359375,32790898511,71.0,75.86160417765183,1968.7882254464287,63485.06333705357,False,0,False,True
2024-10-18,67419.109375,68969.75,67177.8203125,68418.7890625,36857165014,73.0,75.30548313274915,1953.493861607143,63938.728515625,False,0,False,True
2024-10-19,68418.9765625,68668.0078125,68024.640625,68362.734375,14443497908,72.0,74.92590524128644,1950.7742745535713,64386.78459821428,False,0,False,True
2024-10-20,68364.1796875,69359.0078125,68105.71875,69001.703125,18975847518,73.0,74.74519755709838,1959.836216517857,64828.40959821428,False,0,False,True
2024-10-21,69002.0,69462.734375,66829.8515625,67367.8515625,37498611780,72.0,68.94213268123355,1984.2452566964287,65194.92327008928,False,0,False,True
2024-10-22,67360.703125,67801.578125,66581.3671875,67361.40625,31808472566,70.0,69.44586794770339,1976.3501674107142,65568.45452008929,False,0,False,True
2024-10-23,67362.375,67402.7421875,65188.03515625,66432.1953125,32263980353,71.0,72.80652168351341,1977.8133370535713,65986.318359375,False,0,False,True
2024-10-24,66653.703125,68798.9609375,66454.1015625,68161.0546875,31414428647,69.0,77.67844951395138,1979.616908482143,66549.64369419643,False,0,False,True
2024-10-25,68165.296875,68722.15625,65521.79296875,66642.4140625,41469984306,72.0,65.43724949838618,1968.589564732143,66849.45256696429,False,0,False,True
2024-10-27,67023.4765625,68221.3125,66847.2265625,67929.296875,16721307878,74.0,68.40881437961514,1974.9383370535713,67485.13783482143,False,0,False,True
2024-10-28,67922.671875,70212.265625,67535.1328125,69907.7578125,38799856657,72.0,65.35342233940051,1877.56640625,67760.96875,False,0,False,True
2024-10-29,69910.046875,73577.2109375,69729.9140625,72720.4921875,58541874402,72.0,69.72890969536604,1932.91015625,68166.63895089286,False,0,False,True
2024-10-30,72715.3671875,72905.296875,71411.734375,72339.5390625,40646637831,77.0,66.64033694706902,1924.1244419642858,68504.26897321429,False,0,False,True
2024-10-31,72335.046875,72662.3125,69590.5,70215.1875,40627912076,77.0,58.735532490173995,2053.1953125,68705.36551339286,False,0,False,True
